Date,SPY,QQQ,IWM,XLF,TLT,HYG,GLD,SLV,UUP,VIXY
2021-02-08,365.6090087890625,324.1324462890625,214.4760284423828,28.799522399902344,128.69976806640625,68.34976959228516,171.52000427246094,25.389999389648438,21.860652923583984,1069.5999755859375
2021-02-09,365.3655700683594,324.0644226074219,215.485595703125,28.80872344970703,128.79495239257812,68.22518920898438,172.0800018310547,25.280000686645508,21.744752883911133,1075.199951171875
2021-02-10,365.2063903808594,323.3260192871094,214.0702667236328,28.80872344970703,129.65194702148438,68.20964050292969,172.7100067138672,25.06999969482422,21.735836029052734,1090.4000244140625
2021-02-11,365.7962646484375,325.1041259765625,213.82498168945312,28.716690063476562,128.94210815429688,68.24075317382812,171.2100067138672,25.09000015258789,21.72692108154297,1065.5999755859375
2021-02-12,367.6032409667969,326.9212646484375,214.42886352539062,29.011215209960938,127.34076690673828,68.34976959228516,170.69000244140625,25.309999465942383,21.744752883911133,1031.199951171875
2021-02-16,367.28485107421875,326.0370178222656,213.07960510253906,29.508235931396484,125.40178680419922,68.24075317382812,168.24000549316406,25.260000228881836,21.744752883911133,1032.800048828125
2021-02-17,367.369140625,324.4725646972656,211.40951538085938,29.655502319335938,126.19810485839844,68.21741485595703,166.3300018310547,25.399999618530273,21.833904266357422,1018.4000244140625
2021-02-18,365.8056335449219,323.0539245605469,208.13543701171875,29.480627059936523,125.68741607666016,68.12397003173828,166.32000732421875,25.059999465942383,21.762582778930664,1027.199951171875
2021-02-19,365.1595764160156,321.6450500488281,212.4757537841797,29.83038330078125,124.01673889160156,68.13175964355469,167.00999450683594,25.260000228881836,21.709089279174805,987.2000122070312
2021-02-22,362.3509521484375,313.3080139160156,211.09817504882812,30.106496810913086,123.07325744628906,67.92149353027344,169.50999450683594,26.270000457763672,21.646682739257812,1028.800048828125
2021-02-23,362.79095458984375,312.3752136230469,209.23939514160156,30.290584564208984,122.71839904785156,68.08502197265625,169.1199951171875,25.709999084472656,21.66451072692871,986.4000244140625
